epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3655.97,0.603,0.61167,1.01033,0.81018,0.73164,0.74738,0.50606,1.26102,1.34373,1.63876,0.00033425,0.00033425,0.00033425
76,3704.42,0.62056,0.57717,1.02222,0.82318,0.75274,0.77158,0.51099,1.23706,1.31817,1.64227,0.000321875,0.000321875,0.000321875
77,3752.99,0.62992,0.59541,1.01747,0.82029,0.73931,0.76227,0.50182,1.18973,1.36404,1.59024,0.0003095,0.0003095,0.0003095
78,3801.7,0.60091,0.58722,0.99022,0.8195,0.72048,0.76121,0.51273,1.18317,1.37525,1.56318,0.000297125,0.000297125,0.000297125
79,3850.92,0.61006,0.57507,1.00847,0.79608,0.73204,0.76371,0.53215,1.16049,1.34266,1.52788,0.00028475,0.00028475,0.00028475
80,3900.5,0.59909,0.57274,1.01571,0.87487,0.69807,0.77402,0.52347,1.20301,1.27169,1.55974,0.000272375,0.000272375,0.000272375
81,3949.9,0.57582,0.56358,0.98094,0.90737,0.69851,0.77609,0.53357,1.1959,1.28485,1.57494,0.00026,0.00026,0.00026
82,3998.6,0.58011,0.55229,0.98011,0.87247,0.6897,0.77386,0.51855,1.21206,1.36082,1.59833,0.000247625,0.000247625,0.000247625
83,4047.16,0.61227,0.59587,1.02072,0.88476,0.66799,0.75999,0.50924,1.2257,1.37672,1.60032,0.00023525,0.00023525,0.00023525
84,4096.54,0.57046,0.557,0.99384,0.80076,0.72338,0.78285,0.53429,1.21779,1.3406,1.57879,0.000222875,0.000222875,0.000222875
85,4145.6,0.55201,0.54515,0.97486,0.83229,0.74167,0.78807,0.54524,1.20085,1.30298,1.54849,0.0002105,0.0002105,0.0002105
86,4194.15,0.58152,0.52451,0.9728,0.90469,0.69939,0.78193,0.54936,1.19366,1.28328,1.5386,0.000198125,0.000198125,0.000198125
87,4243.04,0.54464,0.52871,0.96983,0.85295,0.76102,0.78909,0.55198,1.192,1.28943,1.52854,0.00018575,0.00018575,0.00018575
88,4291.99,0.5187,0.48916,0.96707,0.86912,0.76295,0.79195,0.53995,1.21237,1.28073,1.55903,0.000173375,0.000173375,0.000173375
89,4340.72,0.54752,0.53059,0.98299,0.81359,0.75182,0.79623,0.54739,1.20444,1.28163,1.57242,0.000161,0.000161,0.000161
90,4389.14,0.53419,0.52849,0.96961,0.86834,0.73264,0.80491,0.55956,1.1908,1.27071,1.56364,0.000148625,0.000148625,0.000148625
91,4437.92,0.50719,0.62596,0.94185,0.86241,0.70787,0.79158,0.54991,1.19464,1.26024,1.5702,0.00013625,0.00013625,0.00013625
92,4486.28,0.52268,0.56246,0.94293,0.84802,0.67052,0.74956,0.5334,1.24247,1.29959,1.67997,0.000123875,0.000123875,0.000123875
93,4534.51,0.4955,0.50364,0.94024,0.73495,0.73602,0.74694,0.51034,1.26642,1.34312,1.71811,0.0001115,0.0001115,0.0001115
94,4582.43,0.47657,0.52308,0.93087,0.76987,0.71141,0.74705,0.51417,1.27031,1.35181,1.71364,9.9125e-05,9.9125e-05,9.9125e-05
95,4630.34,0.48288,0.50323,0.93183,0.76914,0.73001,0.74958,0.51989,1.24688,1.33994,1.67562,8.675e-05,8.675e-05,8.675e-05
96,4678.28,0.46375,0.47063,0.92207,0.7941,0.74076,0.77713,0.53181,1.17783,1.28122,1.60274,7.4375e-05,7.4375e-05,7.4375e-05
97,4726.23,0.43895,0.44398,0.89968,0.78698,0.76576,0.78295,0.53999,1.15074,1.25683,1.56674,6.2e-05,6.2e-05,6.2e-05
98,4774.35,0.46846,0.47034,0.93169,0.86038,0.72841,0.79509,0.54366,1.13222,1.24274,1.54079,4.9625e-05,4.9625e-05,4.9625e-05
99,4822.25,0.44733,0.45247,0.90852,0.85491,0.73057,0.7914,0.54988,1.12018,1.22901,1.52717,3.725e-05,3.725e-05,3.725e-05
100,4870.09,0.43084,0.44208,0.90637,0.8273,0.74659,0.7964,0.55292,1.12408,1.22889,1.52021,2.4875e-05,2.4875e-05,2.4875e-05
